ID,Timestamp,User,Action,Details
1,2025-03-15 16:19:52,Emma,Prod_Update,"Emma updated product ""Laptop Stand"" price from $29.02 to $49.88"
2,2025-03-11 03:57:52,Noah,Prod_Update,"Noah updated product ""Gaming Mouse"" price from $43.6 to $52.88"
3,2025-04-11 10:57:52,Tom,Prod_Add,"Tom added new product ""Wireless Mouse Pro Edition 7860"" with SKU WMX-1205-7860 and price $74.77"
4,2025-03-16 21:34:52,Mike,Prod_Add,"Mike added new product ""Bluetooth Keyboard Pro Edition 3590"" with SKU BK-204-3590 and price $88.38"
5,2025-02-21 13:46:52,Noah,Track_Product,"Noah tracked product ""Gaming Mouse"" with tracking ID TRK41127"
6,2025-02-23 16:17:52,Noah,Track_Product,"Noah tracked product ""Bluetooth Keyboard"" with tracking ID TRK41720"
7,2025-03-24 09:37:52,Tom,Prod_Delete,"Tom deleted discontinued product ""Wireless Mouse"" with SKU WMX-1205"
8,2025-02-24 18:43:52,Tom,User_Update,"Tom updated user ""user_336"" role to full-access"
9,2025-04-01 06:43:52,Amir,User_Update,"Amir updated user ""user_245"" role to admin"
10,2025-02-24 14:36:52,Olivia,Track_Product,"Olivia tracked product ""Gaming Mouse"" with tracking ID TRK97210"
11,2025-02-22 08:37:52,Amir,Order_Product,"Amir ordered 3 units of ""Bluetooth Keyboard"" (Order ID: ORD9576)"
12,2025-04-15 02:09:52,Olivia,User_Delete,"Olivia deleted user ""user_480"" due to policy violation"
13,2025-04-08 19:31:52,Sarah,Prod_Delete,"Sarah deleted discontinued product ""Wireless Mouse"" with SKU WMX-1205"
14,2025-03-27 05:54:52,Olivia,User_Update,"Olivia updated user ""user_381"" role to read-only"
15,2025-04-12 17:58:52,Amir,User_Delete,"Amir deleted user ""user_811"" due to policy violation"
16,2025-03-31 02:24:52,Amir,Prod_Add,"Amir added new product ""USB-C Docking Station Pro Edition 6877"" with SKU UDS-908-6877 and price $136.58"
17,2025-03-24 10:31:52,Amir,Track_Product,"Amir tracked product ""Bluetooth Keyboard"" with tracking ID TRK26697"
18,2025-04-17 03:56:52,Amir,Prod_Update,"Amir updated product ""Laptop Stand"" price from $26.57 to $47.21"
19,2025-04-02 20:48:52,Noah,Prod_Add,"Noah added new product ""USB-C Docking Station Pro Edition 4169"" with SKU UDS-908-4169 and price $114.17"
20,2025-03-04 21:03:52,Noah,Prod_Add,"Noah added new product ""Gaming Mouse Pro Edition 7321"" with SKU GM-556-7321 and price $67.4"
21,2025-03-13 13:31:52,Noah,Prod_Delete,"Noah deleted discontinued product ""Laptop Stand"" with SKU LS-334"
22,2025-03-24 18:42:52,Mike,Prod_Add,"Mike added new product ""USB-C Docking Station Pro Edition 1788"" with SKU UDS-908-1788 and price $134.35"
23,2025-03-30 18:27:52,Emma,Prod_Delete,"Emma deleted discontinued product ""Laptop Stand"" with SKU LS-334"
24,2025-04-14 09:23:52,Emma,User_Delete,"Emma deleted user ""user_165"" due to policy violation"
25,2025-02-23 21:09:52,Mike,Track_Product,"Mike tracked product ""Laptop Stand"" with tracking ID TRK25160"
26,2025-04-07 05:49:52,Olivia,User_Delete,"Olivia deleted user ""user_696"" due to policy violation"
27,2025-02-22 11:48:52,Mike,Track_Product,"Mike tracked product ""Wireless Mouse"" with tracking ID TRK84762"
28,2025-04-09 06:59:52,John,User_Delete,"John deleted user ""user_494"" due to policy violation"
29,2025-04-11 04:55:52,Sarah,User_Update,"Sarah updated user ""user_199"" role to admin"
30,2025-03-12 12:40:52,Olivia,Prod_Delete,"Olivia deleted discontinued product ""Gaming Mouse"" with SKU GM-556"
